Player,GP,G,A,Pts,Sh,Gw,GB,DC,TO,CT
Meaghan Tyrrell,21,55,52,107,115,8,17,2,22,3
Emma Ward,21,38,56,94,73,1,9,0,30,1
Emma Tyrrell,20,52,16,68,105,2,13,30,22,4
Megan Carney,20,59,7,66,107,5,12,1,23,4
Olivia Adamson,21,30,21,51,54,0,7,107,17,1
Sierra Cockerille,21,28,13,41,55,0,18,22,23,7
Natalie Smith,21,21,8,29,50,0,13,9,22,12
Maddy Baxter,21,25,2,27,57,1,17,10,17,13
Savannah Sweitze,21,10,6,16,24,1,5,0,6,0
Tessa Queri,21,7,3,10,10,0,18,1,6,11
Jenny Markey,12,4,3,7,8,0,5,1,7,4
Shira Parower,7,2,1,3,10,0,1,0,1,0
Gracie Britton,8,2,0,2,3,0,0,0,0,0
Payton Rowley,7,1,1,2,3,0,1,0,0,0
Katelyn Mashewsk,7,1,1,2,1,0,1,70,8,2
Caroline Rehder,5,1,0,1,1,0,0,0,0,0
Katie Goodale,21,1,0,1,1,0,27,63,7,27
Ryann Banks,3,0,1,1,0,0,0,0,0,0
Acacia Connor,6,0,0,0,1,0,1,0,0,0
Lauren Call,2,0,0,0,0,0,0,2,0,0
Tate Paulson,4,0,0,0,0,0,1,0,0,0
Bianca Chevarie,10,0,0,0,0,0,22,5,3,17
Evan Johnston,7,0,0,0,0,0,1,0,0,0
Chloe Bethea-Jone,7,0,0,0,0,0,1,0,0,0
Hallie Simkins,21,0,0,0,0,0,18,1,5,9
Superia Clark,21,0,0,0,0,0,13,4,1,4
McKenzie Olsen,14,0,0,0,0,0,8,1,7,4
Coco Vandiver,21,0,0,0,0,0,15,2,7,15
Kimber Hower,4,0,0,0,0,0,0,0,0,0
Faith Wooters,7,0,0,0,0,0,0,3,1,0
Julia Basciano,20,0,0,0,0,0,8,0,2,4
Ana Horvit,6,0,0,0,0,0,0,0,0,0
Jordan Deblasio,18,0,0,0,0,0,1,0,0,1
Delaney Sweitzer,21,0,0,0,0,0,78,0,22,19
